,strategy2,QQQ
2021-08-19,1.603620465896086,2.388579598442241
2021-08-20,1.6052673922556375,2.4133212290785253
2021-08-23,1.6115834801441158,2.44941586101762
2021-08-24,1.6121146682729868,2.4568973718647067
2021-08-25,1.6127719887390577,2.459720092891007
2021-08-26,1.6103367574784047,2.444100816418091
2021-08-27,1.6129466309513654,2.4678578585168354
2021-08-30,1.6175527152084932,2.495552429288032
2021-08-31,1.6187193949147964,2.4935174203656496
2021-09-01,1.6183240322155878,2.497652444580006
2021-09-02,1.6179116927255712,2.496471392347698
2021-09-03,1.618197899878388,2.504149779628407
2021-09-07,1.6228912996900704,2.5076931426947597
2021-09-08,1.6231217243726326,2.4989651605069176
2021-09-09,1.6233618532508562,2.490368222905397
2021-09-10,1.618852799847143,2.4714672597999168
2021-09-13,1.6204851810164014,2.4697605846363326
2021-09-14,1.6208465790307953,2.462738245764938
2021-09-15,1.623597130031249,2.481048992308405
2021-09-16,1.623878496189434,2.48275484199428
2021-09-17,1.6244848751798822,2.4533538024289268
2021-09-20,1.617373220898355,2.4026595653570944
2021-09-21,1.6196071400634295,2.40561601377227
2021-09-22,1.6226536024123615,2.4280857233836577
2021-09-23,1.623065941902378,2.450489394778317
2021-09-24,1.6280989219430144,2.4527887629370415
2021-09-27,1.6322150553512325,2.4332098762629553
2021-09-28,1.6288678184527932,2.36435616143785
2021-09-29,1.6297773924900647,2.360479718115872
2021-09-30,1.6283633113103912,2.351807662042822
2021-10-01,1.6283002451417914,2.366392614946223
2021-10-04,1.6298307544630033,2.316723827558532
2021-10-05,1.6296027391745584,2.3479970505681456
2021-10-06,1.6301266547082829,2.3630424136638024
2021-10-07,1.6327607997735956,2.384723172954709
2021-10-08,1.6307912477695004,2.372831753816132
2021-10-11,1.6323557328787255,2.354632446763395
2021-10-12,1.6356981065761356,2.3464199754048916
2021-10-13,1.6369981801115867,2.3652101181279237
2021-10-14,1.6387542842239275,2.408769751359923
2021-10-15,1.6447477686742595,2.423946159041901
2021-10-18,1.6513161101339386,2.4483208648364863
2021-10-19,1.6498995862505517,2.466848712017449
2021-10-20,1.650270699563806,2.463629348951922
2021-10-21,1.6571106918828096,2.478674712047579
2021-10-22,1.6571106918828096,2.457847703077319
2021-10-25,1.6571106918828096,2.4830109464535313
2021-10-26,1.6571106918828096,2.49082883946708
2021-10-27,1.6571106918828096,2.496611517188819
2021-10-28,1.6571106918828096,2.524336217896398
2021-10-29,1.6571106918828096,2.5367534663356777
2021-11-01,1.6571106918828096,2.545426141517009
2021-11-02,1.6571106918828096,2.5560698510982673
2021-11-03,1.6571106918828096,2.583203716135551
2021-11-04,1.6571106918828096,2.616316722589342
2021-11-05,1.6571106918828096,2.618813586289971
2021-11-08,1.6571106918828096,2.615265683096218
2021-11-09,1.6571106918828096,2.5972638715853855
2021-11-10,1.6571106918828096,2.559092131360744
2021-11-11,1.6571106918828096,2.566188144117677
2021-11-12,1.6571106918828096,2.5931903454603575
2021-11-15,1.6571106918828096,2.592598684312353
2021-11-16,1.6571106918828096,2.6110611123848693
2021-11-17,1.6571106918828096,2.6124408983756457
2021-11-18,1.6571106918828096,2.6395093443044826
2021-11-19,1.6571106918828096,2.6542257545330594
2021-11-22,1.6571106918828096,2.62341232260742
2021-11-23,1.6571106918828096,2.611455484360396
2021-11-24,1.6571106918828096,2.6198648321525217
