idle_capital,first_level,levels,tranche_weight,total_target_weight_per_stock,final_value,total_return,cagr,annualized_volatility,sharpe,max_drawdown,trade_count,buy_count,sell_count
QQQ,0.25,25%/35%/45%/55%,0.15,0.6,12.811865964096054,11.811865964096054,0.40403852746014746,0.34129074017879507,1.1685565247698617,-0.571325459248444,56,36,20
QQQ,0.2,20%/30%/40%/50%,0.1,0.4,12.057399702903895,11.057399702903895,0.39274539093090577,0.33461640510691915,1.1607810753329784,-0.5558431596765299,87,57,30
QQQ,0.2,20%/30%/40%/50%,0.075,0.3,10.472947372207333,9.472947372207333,0.3668802930611903,0.312889609626877,1.1588711595984371,-0.5200735298194668,96,65,31
QQQ,0.25,25%/35%/45%/55%,0.075,0.3,9.698126895715664,8.698126895715664,0.35297195611631915,0.30298864355653626,1.15277868707144,-0.5148384983974346,69,45,24
QQQ,0.25,25%/35%/45%/55%,0.05,0.2,8.381662914328292,7.381662914328292,0.3269617857500182,0.28388898231656756,1.1420480735888443,-0.48115553061481386,75,51,24
QQQ,0.15,15%/25%/35%/45%,0.1,0.4,11.112213083487879,10.112213083487879,0.3776989800873285,0.32938505617772085,1.14106531921629,-0.5465824179879573,133,83,50
QQQ,0.15,15%/25%/35%/45%,0.15,0.6,13.19639020688772,12.19639020688772,0.40957401330778787,0.35829851299538973,1.1408727175309936,-0.5783610099697682,117,72,45
QQQ,0.2,20%/30%/40%/50%,0.05,0.2,8.515822929658121,7.515822929658121,0.32976854603167927,0.2896534992200253,1.1323865067013466,-0.4865989197905236,103,71,32
QQQ,0.15,15%/25%/35%/45%,0.075,0.3,9.910648815723794,8.910648815723794,0.3568800357367412,0.3156422641866544,1.1283384281902205,-0.5503255939043941,141,91,50
cash,0.25,25%/35%/45%/55%,0.025,0.1,1.9810690843929601,0.9810690843929601,0.09523041535396781,0.08421778870174389,1.125643730216677,-0.17888698340990516,75,51,24
QQQ,0.2,20%/30%/40%/50%,0.15,0.6,13.185247422434998,12.185247422434998,0.4094155847920753,0.36641734998435455,1.1231271270241963,-0.5859285655188065,74,47,27
QQQ,0.15,15%/25%/35%/45%,0.05,0.2,8.57536183504327,7.575361835043269,0.3310018941779791,0.2946967269841228,1.1211863786267118,-0.5107492898279268,151,100,51
QQQ,0.1,10%/20%/30%/40%,0.1,0.4,10.063666987290853,9.063666987290853,0.3596491552107972,0.32149394144421,1.1200294710967893,-0.5231796464781482,176,110,66
QQQ,0.3,30%/40%/50%/60%,0.025,0.1,6.584663759758824,5.584663759758824,0.2850326746948091,0.2572670563043278,1.1070932714540953,-0.40214476691153445,62,41,21
cash,0.25,25%/35%/45%/55%,0.1,0.4,6.597901024972879,5.597901024972879,0.28537611287353815,0.2575600418680942,1.1058946041701356,-0.494602158017066,65,43,22
cash,0.2,20%/30%/40%/50%,0.025,0.1,2.091495020642771,1.0914950206427712,0.10316384909773268,0.0934361725657469,1.1008533322627911,-0.19881310119630136,104,72,32
QQQ,0.1,10%/20%/30%/40%,0.05,0.2,8.204453954158602,7.204453954158602,0.3231940842927874,0.29693720703632026,1.0951414750592614,-0.5121470947727147,200,134,66
QQQ,0.25,25%/35%/45%/55%,0.025,0.1,6.5054688759468835,5.5054688759468835,0.28296538732471066,0.25982757679544866,1.0925185172506386,-0.41623828130384244,75,51,24
QQQ,0.1,10%/20%/30%/40%,0.075,0.3,9.027564000273287,8.027564000273287,0.3401343074544252,0.3163316083954424,1.0872592760645088,-0.538370204598731,184,118,66
QQQ,0.2,20%/30%/40%/50%,0.025,0.1,6.477084459930435,5.477084459930435,0.2822191327370962,0.26227806726609165,1.082544777696184,-0.42497344524429204,104,72,32
QQQ,0.15,15%/25%/35%/45%,0.025,0.1,6.583887516287492,5.583887516287492,0.2850125166411157,0.2650651456691054,1.0821850619489048,-0.43279363979693564,154,103,51
cash,0.2,20%/30%/40%/50%,0.075,0.3,5.7721120128689245,4.7721120128689245,0.26270902664081497,0.24546669722949932,1.075572076338481,-0.4597407292044916,97,66,31
cash,0.25,25%/35%/45%/55%,0.05,0.2,3.394776715767535,2.394776715767535,0.17660258513249816,0.16423400494295531,1.0752000247923603,-0.3386359075682719,75,51,24
cash,0.25,25%/35%/45%/55%,0.15,0.6,7.646754266073611,6.646754266073611,0.31085774391077625,0.29241917063604583,1.0744886464459842,-0.563316655458242,55,35,20
QQQ,0.1,10%/20%/30%/40%,0.025,0.1,6.419184659288881,5.419184659288881,0.280688057252632,0.2663429000891498,1.0656051632612817,-0.43648927829486894,205,139,66
