date,ticker,action,price,shares,cash_flow,drawdown,portfolio_value_before_trade,unrealized_gain_before_trade
2025-03-10,TSLA,buy_down_45pct,222.14999389648438,0.00015679277820966996,-0.03483151472229101,-0.5370524722253526,1.7238427427951353,
2025-07-25,AMD,sell_gain_30pct,166.47000122070312,0.0014352386088291027,0.238924172963781,,2.2684863148654855,0.3133907167313381
2025-09-12,TSLA,sell_gain_20pct,395.94000244140625,0.0005396772986002408,0.21367983092535087,,2.4038536913631092,0.2505006708304438
2025-09-16,TSLA,sell_gain_30pct,421.6199951171875,0.0002698386493001204,0.11376937000034523,,2.435546279481178,0.3316060096948532
2025-09-22,TSLA,sell_near_prior_high,434.2099914550781,0.0002698386493001204,0.1171666376068551,,2.4794384424025204,0.3713691020048173
2025-10-06,AMD,sell_near_prior_high,203.7100067138672,0.0014352386088291027,0.2923724666405779,,2.5630620192630915,0.6072014763101812
2025-11-19,META,buy_down_25pct,588.7886352539062,0.0004296951580621076,-0.25299962569059986,-0.2522552186922069,2.5299962569059984,
2025-12-17,AMD,buy_down_25pct,198.11000061035156,0.0012910182018659572,-0.25576361675963977,-0.2505201427224757,2.5576361675963977,
2026-01-21,AMD,sell_near_prior_high,249.8000030517578,0.0012910182018659572,0.322496350765991,,2.6648510843329465,0.26091566443973524
2026-01-29,META,sell_near_prior_high,736.995361328125,0.0004296951580621076,0.31668333827692874,,2.7698689543064,0.25171465140509497
2026-02-05,MSFT,buy_down_25pct,391.9246520996094,0.0006703558505281167,-0.26272898350116985,-0.27240616893410396,2.627289835011698,
2026-02-05,AMD,buy_down_25pct,192.5,0.0013648258883177655,-0.26272898350116985,-0.2717436167713341,2.627289835011698,
2026-03-26,META,buy_down_25pct,547.032958984375,0.0004400676287244371,-0.24073149709436614,-0.3052837371639593,2.5454733501498534,
