,strategy2,QQQ
2021-11-01,3.199557834132889,2.545426141517009
2021-11-02,3.2129367980004693,2.5560698510982673
2021-11-03,3.24704360983615,2.583203716135551
2021-11-04,3.2886661018357723,2.616316722589342
2021-11-05,3.2918046174987525,2.6188135862899715
2021-11-08,3.2873449628762255,2.615265683096218
2021-11-09,3.2647169886802265,2.5972638715853855
2021-11-10,3.216735753441773,2.559092131360744
2021-11-11,3.225655322089724,2.566188144117677
2021-11-12,3.2595966348764773,2.5931903454603575
2021-11-15,3.258852926767893,2.592598684312353
2021-11-16,3.2820598882322423,2.6110611123848693
2021-11-17,3.283794256008314,2.612440898375646
2021-11-18,3.3178188371253268,2.6395093443044826
2021-11-19,3.336317117185064,2.6542257545330594
2021-11-22,3.2975851516779278,2.6234123226074204
2021-11-23,3.2825556071703326,2.611455484360396
2021-11-24,3.293126015861197,2.6198648321525217
2021-11-26,3.230692148160315,2.5701952192871214
2021-11-29,3.3008064168653712,2.6259750181553505
2021-11-30,3.2523292032859294,2.5874086995857546
2021-12-01,3.1969975275295655,2.5433892752697815
2021-12-02,3.2200389899449866,2.5617200396476942
2021-12-03,3.1640466150074005,2.5171749924004456
2021-12-06,3.1894003948556513,2.5373453338531093
2021-12-07,3.2854450960512267,2.6137542334108392
2021-12-08,3.3001457176841487,2.625449395224075
2021-12-09,3.251586013983141,2.586817451176605
2021-12-10,3.286932512268395,2.6149375557068475
2021-12-13,3.2394467365651343,2.577159981088306
2021-12-14,3.2062695226636344,2.550485288026714
2021-12-15,3.278631385778317,2.6086296677926875
2021-12-16,3.19030566702774,2.5415505236727407
2021-12-17,3.1761103108982645,2.5288699478442545
2021-12-20,3.141348988295308,2.5043396395015027
2021-12-21,3.214744920876508,2.56038709951691
2021-12-22,3.263769311601699,2.5915689008702394
2021-12-23,3.2968425400497385,2.61110651365887
2021-12-27,3.3528900383328346,2.6542610437051235
2021-12-28,3.33728315181922,2.6419591557756923
2021-12-29,3.3364290954085516,2.641563958322456
2021-12-30,3.3243465534768544,2.6336703277290963
2021-12-31,3.302435648487797,2.6172247480693622
2022-01-03,3.356489225022835,2.6424199787068026
2022-01-04,3.3071497186785557,2.6081461442245764
2022-01-05,3.2011672420435993,2.5280211503898626
2022-01-06,3.195120952005227,2.5262449287292865
2022-01-07,3.1561164547074783,2.4988784853474613
2022-01-10,3.163303000551482,2.5005232496828618
2022-01-11,3.2092107332480984,2.538086200097035
2022-01-12,3.22823887235335,2.548151249804207
2022-01-13,3.1396058305788914,2.484406416520781
2022-01-14,3.1622824093814366,2.499865550318129
2022-01-18,3.0825627003782174,2.4376336113060733
2022-01-19,3.0415013578388286,2.4108592418111066
2022-01-20,3.0007748484374988,2.3795459831326014
2022-01-21,2.9127922625482214,2.31356472436577
2022-01-24,2.9256978314988764,2.3241560161124992
2022-01-25,2.854647715999687,2.2702785306249136
2022-01-26,2.8562092790228353,2.266726500042615
2022-01-27,2.8071497771034366,2.2438991522137557
2022-01-28,2.8937264171249204,2.31428784283895
2022-01-31,3.020778835697546,2.38829542774088
2022-02-01,3.039509948607104,2.4045441309669915
2022-02-02,3.0568333615304333,2.424082362863904
2022-02-03,2.8966106300050596,2.325800574078473
2022-02-04,2.954454720522617,2.3551397028156424
2022-02-07,2.925649012824833,2.336194576652725
2022-02-08,2.9503933518017806,2.3624420849998526
2022-02-09,3.03152741145397,2.4125037997770797
2022-02-10,2.9611636311456113,2.3579031958163137
2022-02-11,2.845984989291436,2.283106454224475
2022-02-14,2.856035222612565,2.2859355727030204
2022-02-15,2.9491748130467905,2.3427728085166186
2022-02-16,2.9431115915226096,2.342180940999187
2022-02-17,2.8311502442831618,2.2725155752166
2022-02-18,2.7896311163812397,2.246596194258844
2022-02-22,2.7480053389946484,2.2240323801886177
2022-02-23,2.6615034548845586,2.167063067941562
2022-02-24,2.76816997544881,2.23988609233092
2022-02-25,2.8099746370710674,2.274620543374829
2022-02-28,2.8390221657422248,2.2813964771500546
2022-03-01,2.783856122614793,2.2464647369336683
2022-03-02,2.835692353884905,2.2841589383035896
2022-03-03,2.777978553427732,2.2515300745261912
2022-03-04,2.7360754672243495,2.2189010043793655
2022-03-07,2.6132005525634794,2.137065207992523
2022-03-08,2.6203844838829693,2.127132028349381
2022-03-09,2.726936035911001,2.2037047852323686
2022-03-10,2.6982987755329857,2.179233498545818
2022-03-11,2.6257771614437404,2.134039419449782
2022-03-14,2.571978025886896,2.0930561021479135
2022-03-15,2.668483140055548,2.158708614417092
2022-03-16,2.789791743159978,2.2387675700350766
2022-03-17,2.8369620126031423,2.2658710987665507
2022-03-18,2.926442898511117,2.312248706528022
2022-03-21,2.918816071719081,2.3058209179766136
2022-03-22,2.988238799607127,2.3511361359264615
2022-03-23,2.946296032891939,2.3173476823371915
2022-03-24,3.0330998864557532,2.368853570366506
2022-03-25,3.031620515662927,2.3668779958391797
2022-03-28,3.0994789169871817,2.4034990761872588
2022-03-29,3.1517600865361355,2.4448629387130265
2022-03-30,3.111289295198465,2.417857641828937
2022-03-31,3.063259792452662,2.387889292707998
2022-04-01,3.0620427589830728,2.3833444188110686
2022-04-04,3.15146960781157,2.4324141157513735
2022-04-05,3.068794218259213,2.378404347460903
2022-04-06,2.972678215560725,2.326765763889849
2022-04-07,2.976096848273012,2.3322985282351554
2022-04-08,2.9244778886652383,2.299695460636167
2022-04-11,2.8375446506905586,2.2452900821536055
2022-04-12,2.8236025331649217,2.2358055496453644
2022-04-13,2.8825817346469615,2.2812526376592426
2022-04-14,2.806547434627549,2.2290871929403497
2022-04-18,2.8232317530174726,2.230799646447897
2022-04-19,2.8923385255134217,2.2806599446641016
2022-04-20,2.7979313400675956,2.2473979394838164
2022-04-21,2.724418169208332,2.200896716435406
2022-04-22,2.6612904016022587,2.143264339218508
2022-04-25,2.6946023223650464,2.1707960845115823
2022-04-26,2.5592154354464984,2.0888599925830826
2022-04-27,2.5379666730567,2.086357144169063
2022-04-28,2.6897231091039906,2.1604553252495675
2022-04-29,2.570228615177606,2.0632388154477423
2022-05-02,2.647751552189155,2.0976853811405998
